BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance(km),streetType,ElectricityProp,NaturalGasProp,SteamProp,OtherEnergyProp,Imp_NumberofFloors
NonResidential,Hotel,DOWNTOWN,1927,1.0,0,88434,Hotel,None,0.0,None,0.0,60.0,7226362.5,249.98,0.5124221340464639,way,0.546059929874816,0.1766383848028659,0.277301616131214,6.919110409974589e-08,12
NonResidential,Hotel,DOWNTOWN,1996,1.0,15064,88502,Hotel,Parking,15064.0,Restaurant,4622.0,61.0,8387933.0,295.86,0.624189531984878,street,0.38660907281925116,0.6133909271807488,0.0,0.0,11
NonResidential,Hotel,DOWNTOWN,1969,1.0,196718,759392,Hotel,None,0.0,None,0.0,43.0,72587024.0,2089.28,0.70135894930696,avenue,0.6823074052464253,0.020579435795576907,0.29711307629859574,8.265940204408987e-08,41
NonResidential,Hotel,DOWNTOWN,1926,1.0,0,61320,Hotel,None,0.0,None,0.0,56.0,6794584.0,286.43,0.7080898203148994,street,0.40751928300540546,0.2665671658485641,0.32591344076399675,1.103820336903628e-07,10
NonResidential,Hotel,DOWNTOWN,1980,1.0,62000,113580,Hotel,Parking,68009.0,Swimming Pool,0.0,75.0,14172606.0,505.01,0.7404531413574846,street,0.3788016826263286,0.6211982468150177,0.0,7.05586537860433e-08,18
Nonresidential COS,Other,DOWNTOWN,1999,1.0,37198,60090,Police Station,None,0.0,None,0.0,,12086616.0,301.81,0.9423635699346078,street,0.609884023783001,0.39011597621699906,0.0,0.0,2
NonResidential,Hotel,DOWNTOWN,1926,1.0,0,83008,Hotel,None,0.0,None,0.0,27.0,5758795.0,176.14,0.7267789024897264,avenue,0.4881602835315374,0.5118397164684626,0.0,0.0,11
NonResidential,Other,DOWNTOWN,1926,1.0,0,102761,Other - Entertainment/Public Assembly,None,0.0,None,0.0,,6298131.5,221.51,0.7103197928038879,street,0.5774180802671396,0.061159250168085565,0.36142251078752485,1.5877725004630343e-07,8
NonResidential,Hotel,DOWNTOWN,1904,1.0,0,163984,Hotel,None,0.0,None,0.0,43.0,13723820.0,392.16,0.5979876002304219,avenue,0.5317702359838588,0.4682296911501317,0.0,7.286600960956934e-08,15
NonResidential,Hotel,DOWNTOWN,1969,1.0,19279,133884,Hotel,None,0.0,None,0.0,30.0,16016644.0,691.26,0.17604113724049042,avenue,0.386324813113159,0.2866923932379342,0.32698269999632884,9.365257790583346e-08,11
NonResidential,Hotel,DOWNTOWN,1998,1.0,61161,272015,Hotel,None,0.0,None,0.0,36.0,26941110.0,740.97,0.23032554643246853,avenue,0.6712065315794338,0.10610921376290731,0.22268423609866111,1.8558997754732452e-08,25
NonResidential,Hotel,DOWNTOWN,1928,1.0,0,65009,Hotel,None,0.0,None,0.0,48.0,6596057.5,328.23,0.21957910424912205,street,0.2036064725027033,0.5452810258248961,0.2511125016724005,0.0,9
